folio,fecha,hora_inicio,hora_fin,duracion_min,encuestador_id,encuestador_nombre,seccion,satisfaccion_amlo,satisfaccion_cs,programas_bienestar,sabia_designacion,conoce_ivan,opinion_ivan,cercania_ivan,representa_4t,intencion_voto,descripcion_ivan,prioridad_gobernador,edad,sexo,nivel_educativo,recibe_bienestar
IGU-0779,2025-06-03,13:31,13:43,12.8,E52,Graciela Domínguez,1543,Regular,Regular,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Educación,38,Mujer,Secundaria,No
IGU-0780,2025-06-03,09:33,09:47,14.9,E52,Graciela Domínguez,1543,Satisfecho,Insatisfecho,Algo,No lo sabía y no me interesa,Sí,Buena,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Salud,27,Hombre,Primaria,No
IGU-0781,2025-06-03,14:21,14:34,13.5,E52,Graciela Domínguez,1543,Satisfecho,Insatisfecho,Algo,No sabe / No contesta,No,No aplica,No sabe / No contesta,No,"Sí, con seguridad",Es un operador del gobierno federal,Educación,26,Mujer,Preparatoria,Sí
IGU-0782,2025-06-03,15:58,16:07,9.0,E52,Graciela Domínguez,1543,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,En parte,Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,23,Mujer,Primaria,Sí
IGU-0783,2025-06-03,10:16,10:30,14.1,E52,Graciela Domínguez,1543,Muy satisfecho,Insatisfecho,Nada,"Sí, lo sabía",Sí,Regular,Algo cercano,No,No,Es una persona de trabajo y territorio,Infraestructura,49,Hombre,Universidad,Sí
IGU-0784,2025-06-03,11:23,11:37,14.8,E47,Beatriz Guerrero,1551,Insatisfecho,Insatisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,No,Probablemente sí,No tengo una opinión clara,Empleo / economía,35,Mujer,Universidad,Sí
IGU-0785,2025-06-03,16:26,16:40,14.7,E47,Beatriz Guerrero,1551,Insatisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Buena,No sabe / No contesta,En parte,"Sí, con seguridad",No lo conozco bien,Programas sociales,39,Hombre,Preparatoria,No
IGU-0786,2025-06-03,10:07,10:23,16.2,E47,Beatriz Guerrero,1551,Insatisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,No sabe / No contesta,Es una persona de trabajo y territorio,Programas sociales,38,Mujer,Universidad,Sí
IGU-0787,2025-06-03,10:30,10:45,15.5,E47,Beatriz Guerrero,1493,Satisfecho,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Mala,Muy cercano,"Sí, totalmente",No,No lo conozco bien,Programas sociales,27,Mujer,Posgrado,No
IGU-0788,2025-06-03,14:40,14:54,14.4,E47,Beatriz Guerrero,1551,Muy satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",Sí,Regular,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Educación,32,Hombre,Preparatoria,Sí
IGU-0789,2025-06-03,15:58,16:10,12.8,E47,Beatriz Guerrero,1551,Muy satisfecho,Insatisfecho,Algo,"Sí, lo sabía",Sí,Buena,Poco cercano,No sabe / No contesta,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,29,Mujer,Secundaria,No
IGU-0790,2025-06-03,10:03,10:11,8.0,E47,Beatriz Guerrero,1551,Regular,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,Muy cercano,En parte,Probablemente no,No lo conozco bien,Empleo / economía,36,Hombre,Secundaria,Sí
IGU-0791,2025-06-03,16:35,16:49,14.3,E47,Beatriz Guerrero,1551,Insatisfecho,Muy satisfecho,Poco,"Sí, lo sabía",Sí,Muy buena,Algo cercano,No,Probablemente no,No lo conozco bien,Seguridad,66,Mujer,Secundaria,No
IGU-0792,2025-06-03,16:48,17:01,13.6,E58,Rocío Bautista,1497,Satisfecho,Regular,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente sí,No lo conozco bien,Empleo / economía,49,Hombre,Preparatoria,Sí
IGU-0793,2025-06-03,10:27,10:40,13.8,E58,Rocío Bautista,1497,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,No sabe / No contesta,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Empleo / economía,27,Mujer,Secundaria,No
IGU-0794,2025-06-03,12:15,12:24,9.2,E58,Rocío Bautista,1497,Insatisfecho,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,No,"Sí, con seguridad",Es un operador del gobierno federal,Seguridad,24,Hombre,Preparatoria,Sí
IGU-0795,2025-06-03,11:35,11:44,9.8,E58,Rocío Bautista,1544,Regular,Regular,Mucho,"Sí, lo sabía",Sí,Regular,Algo cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Programas sociales,40,Mujer,Primaria,Sí
IGU-0796,2025-06-03,11:00,11:16,16.2,E58,Rocío Bautista,1497,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,Poco cercano,En parte,Probablemente sí,No lo conozco bien,Programas sociales,56,Hombre,Secundaria,No
IGU-0797,2025-06-03,12:09,12:21,12.9,E58,Rocío Bautista,1497,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,No,No tengo una opinión clara,Salud,58,Mujer,Posgrado,No
IGU-0798,2025-06-03,11:49,12:04,15.0,E58,Rocío Bautista,1497,Satisfecho,Insatisfecho,Nada,No lo sabía y no me interesa,No,No aplica,Poco cercano,No sabe / No contesta,No,No lo conozco bien,Educación,33,Hombre,Preparatoria,Sí
IGU-0799,2025-06-03,15:24,15:37,13.1,E58,Rocío Bautista,1497,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Mala,No sabe / No contesta,No,"Sí, con seguridad",Es un operador del gobierno federal,Seguridad,67,Hombre,Primaria,No
IGU-0800,2025-06-03,09:01,09:14,13.1,E58,Rocío Bautista,1511,Muy satisfecho,Regular,Algo,"Sí, lo sabía",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente no,Es un operador del gobierno federal,Educación,59,Hombre,Universidad,Sí
IGU-0801,2025-06-03,16:33,16:48,15.8,E58,Rocío Bautista,1497,Muy satisfecho,Regular,Mucho,No lo sabía y no me interesa,Sí,Buena,Poco cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,59,Mujer,Secundaria,Sí
IGU-0802,2025-06-03,12:48,12:59,11.5,E58,Rocío Bautista,1497,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,No lo conozco bien,Empleo / economía,28,Mujer,Secundaria,Sí
IGU-0803,2025-06-03,12:08,12:21,13.3,E58,Rocío Bautista,1521,Muy satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",No lo conozco bien,Educación,59,Hombre,Preparatoria,Sí
IGU-0804,2025-06-03,15:07,15:18,11.6,E58,Rocío Bautista,1497,Regular,Satisfecho,Poco,"Sí, lo sabía",Sí,Muy buena,Muy cercano,No,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,23,Hombre,Universidad,Sí
IGU-0805,2025-06-03,14:28,14:39,11.7,E58,Rocío Bautista,1497,Regular,Regular,Algo,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",No,No lo conozco bien,Seguridad,21,Mujer,Preparatoria,Sí
IGU-0806,2025-06-03,09:21,09:33,12.1,E58,Rocío Bautista,1497,Muy satisfecho,Regular,Nada,No sabe / No contesta,Sí,Muy buena,Algo cercano,En parte,Probablemente no,Es un operador del gobierno federal,Empleo / economía,36,Hombre,Preparatoria,No
IGU-0807,2025-06-03,14:01,14:14,13.7,E58,Rocío Bautista,1497,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Muy buena,No sabe / No contesta,En parte,No,Es un operador del gobierno federal,Seguridad,18,Mujer,Preparatoria,Sí
IGU-0808,2025-06-03,10:43,10:54,11.6,E11,Alejandro Díaz,1513,Regular,Muy satisfecho,Mucho,No sabe / No contesta,Sí,Buena,Poco cercano,En parte,Probablemente sí,No tengo una opinión clara,Programas sociales,67,Hombre,Secundaria,Sí
IGU-0809,2025-06-03,16:27,16:43,16.8,E11,Alejandro Díaz,1513,Muy satisfecho,Regular,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,59,Mujer,Preparatoria,No
IGU-0810,2025-06-03,11:38,11:48,10.3,E11,Alejandro Díaz,1513,Muy satisfecho,Regular,Poco,"Sí, lo sabía",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,No tengo una opinión clara,Programas sociales,28,Mujer,Preparatoria,Sí
IGU-0811,2025-06-03,17:00,17:12,12.4,E11,Alejandro Díaz,1513,Muy satisfecho,Satisfecho,Poco,No sabe / No contesta,No,No aplica,Poco cercano,No sabe / No contesta,No sabe / No contesta,No tengo una opinión clara,Seguridad,42,Mujer,Posgrado,Sí
IGU-0812,2025-06-03,12:36,12:47,11.7,E11,Alejandro Díaz,1513,Regular,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,74,Otro,Universidad,Sí
IGU-0813,2025-06-03,15:45,16:02,17.3,E11,Alejandro Díaz,1513,Muy satisfecho,Insatisfecho,Algo,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,35,Hombre,Preparatoria,Sí
IGU-0814,2025-06-03,12:23,12:36,13.6,E11,Alejandro Díaz,1513,Satisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,Sí,Buena,No sabe / No contesta,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Educación,35,Mujer,Preparatoria,Sí
IGU-0815,2025-06-03,16:26,16:42,16.1,E11,Alejandro Díaz,1513,Muy satisfecho,Regular,Poco,No sabe / No contesta,No,No aplica,Muy cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Programas sociales,68,Hombre,Universidad,Sí
IGU-0816,2025-06-03,12:53,13:01,8.5,E11,Alejandro Díaz,1513,Regular,Satisfecho,Mucho,No sabe / No contesta,No,No aplica,Poco cercano,En parte,Probablemente sí,No lo conozco bien,Empleo / economía,55,Hombre,Preparatoria,Sí
IGU-0817,2025-06-03,15:24,15:37,13.8,E11,Alejandro Díaz,1513,Regular,Satisfecho,Algo,No sabe / No contesta,No,No aplica,Muy cercano,"Sí, totalmente","Sí, con seguridad",No tengo una opinión clara,Programas sociales,46,Mujer,Universidad,Sí
IGU-0818,2025-06-03,14:20,14:35,15.7,E11,Alejandro Díaz,1545,Muy satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,En parte,No sabe / No contesta,No lo conozco bien,Educación,43,Hombre,Secundaria,Sí
IGU-0819,2025-06-03,09:53,10:06,13.2,E11,Alejandro Díaz,1513,Satisfecho,Muy satisfecho,Algo,No sabe / No contesta,Sí,Regular,Poco cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Educación,41,Mujer,Secundaria,No
IGU-0820,2025-06-03,15:23,15:39,16.2,E11,Alejandro Díaz,1513,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,No sabe / No contesta,Es una persona de trabajo y territorio,Seguridad,68,Mujer,Universidad,Sí
IGU-0821,2025-06-03,11:36,11:47,11.4,E11,Alejandro Díaz,1513,Muy satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,29,Mujer,Preparatoria,Sí
IGU-0822,2025-06-03,12:26,12:43,17.2,E24,Alfredo Aguilar,1564,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,No sabe / No contesta,Probablemente no,Es un operador del gobierno federal,Programas sociales,20,Hombre,Secundaria,Sí
IGU-0823,2025-06-03,15:25,15:44,19.9,E24,Alfredo Aguilar,1564,Satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,49,Mujer,Primaria,Sí
IGU-0824,2025-06-03,15:06,15:17,11.9,E24,Alfredo Aguilar,1511,Satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,En parte,Probablemente sí,Es un operador del gobierno federal,Programas sociales,46,Hombre,Secundaria,Sí
IGU-0825,2025-06-03,16:58,17:09,11.7,E24,Alfredo Aguilar,2832,Satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Seguridad,25,Mujer,Preparatoria,No
IGU-0826,2025-06-03,11:28,11:45,17.4,E24,Alfredo Aguilar,1564,Satisfecho,Satisfecho,Algo,No sabe / No contesta,Sí,Muy buena,Algo cercano,"Sí, totalmente",Probablemente sí,No lo conozco bien,Programas sociales,29,Mujer,Primaria,Sí
IGU-0827,2025-06-03,16:12,16:29,17.7,E24,Alfredo Aguilar,1564,Satisfecho,Regular,Poco,No sabe / No contesta,No,No aplica,Muy cercano,"Sí, totalmente","Sí, con seguridad",No tengo una opinión clara,Programas sociales,19,Hombre,Secundaria,No
IGU-0828,2025-06-03,12:08,12:19,11.4,E24,Alfredo Aguilar,1548,Satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Salud,40,Hombre,Preparatoria,Sí
IGU-0829,2025-06-03,09:12,09:23,11.7,E24,Alfredo Aguilar,1564,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,Algo cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Seguridad,44,Hombre,Primaria,Sí
IGU-0830,2025-06-03,12:20,12:32,12.2,E24,Alfredo Aguilar,1564,Muy satisfecho,Muy satisfecho,Poco,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Seguridad,33,Mujer,Universidad,Sí
IGU-0831,2025-06-03,09:50,09:59,9.0,E24,Alfredo Aguilar,1564,Muy satisfecho,Satisfecho,Algo,No sabe / No contesta,No,No aplica,Muy cercano,No,No sabe / No contesta,Es una persona de trabajo y territorio,Educación,48,Mujer,Posgrado,Sí
IGU-0832,2025-06-03,16:09,16:19,10.2,E24,Alfredo Aguilar,1564,Satisfecho,Insatisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Seguridad,64,Mujer,Secundaria,Sí
IGU-0833,2025-06-03,10:05,10:15,10.0,E24,Alfredo Aguilar,1564,Satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,22,Hombre,Primaria,Sí
IGU-0834,2025-06-03,09:20,09:30,10.7,E24,Alfredo Aguilar,1498,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,En parte,Probablemente no,Es una persona de trabajo y territorio,Seguridad,48,Mujer,Secundaria,No
IGU-0835,2025-06-03,14:09,14:21,12.9,E29,Ernesto Luna,1534,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Seguridad,58,Hombre,Secundaria,Sí
IGU-0836,2025-06-03,16:43,16:56,13.7,E29,Ernesto Luna,1534,Muy satisfecho,Muy satisfecho,Mucho,No sabe / No contesta,Sí,Muy buena,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Programas sociales,30,Mujer,Universidad,Sí
IGU-0837,2025-06-03,14:51,15:08,17.7,E29,Ernesto Luna,1534,Satisfecho,Regular,Algo,"Sí, lo sabía",Sí,Buena,Algo cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Seguridad,56,Mujer,Universidad,Sí
IGU-0838,2025-06-03,11:05,11:15,10.0,E29,Ernesto Luna,1534,Satisfecho,Regular,Nada,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,53,Otro,Primaria,Sí
IGU-0839,2025-06-03,12:52,13:08,16.0,E29,Ernesto Luna,1534,Insatisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",No sabe / No contesta,No lo conozco bien,Empleo / economía,24,Hombre,Secundaria,Sí
IGU-0840,2025-06-03,09:27,09:39,12.4,E29,Ernesto Luna,1526,Muy satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",No,Es un operador del gobierno federal,Seguridad,60,Mujer,Primaria,Sí
IGU-0841,2025-06-03,12:40,12:52,12.9,E29,Ernesto Luna,1534,Muy satisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,Sí,No sabe / No contesta,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Educación,28,Mujer,Universidad,Sí
IGU-0842,2025-06-03,09:46,10:01,15.0,E29,Ernesto Luna,1534,Satisfecho,Satisfecho,Nada,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,75,Hombre,Secundaria,Sí
IGU-0843,2025-06-03,13:56,14:05,9.6,E29,Ernesto Luna,1534,Regular,Regular,Algo,"Sí, lo sabía",Sí,Mala,Algo cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Educación,66,Hombre,Preparatoria,Sí
IGU-0844,2025-06-03,15:44,15:58,14.1,E29,Ernesto Luna,1534,Regular,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,71,Mujer,Secundaria,No
IGU-0845,2025-06-03,12:27,12:40,13.5,E29,Ernesto Luna,1534,Muy satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",Sí,Mala,No sabe / No contesta,No,Probablemente no,No lo conozco bien,Seguridad,63,Mujer,Secundaria,Sí
IGU-0846,2025-06-03,15:10,15:24,14.5,E29,Ernesto Luna,1534,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,55,Mujer,Preparatoria,No
IGU-0847,2025-06-03,12:06,12:19,13.9,E29,Ernesto Luna,1534,Muy satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,Probablemente sí,Es un operador del gobierno federal,Seguridad,27,Hombre,Universidad,Sí
IGU-0848,2025-06-03,11:39,11:59,20.4,E29,Ernesto Luna,1534,Muy satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,No sabe / No contesta,No sabe / No contesta,No lo conozco bien,Seguridad,48,Mujer,Universidad,Sí
IGU-0849,2025-06-03,15:04,15:15,11.1,E29,Ernesto Luna,1534,Muy satisfecho,Regular,Mucho,No lo sabía y no me interesa,Sí,Buena,Poco cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,29,Hombre,Primaria,No
IGU-0850,2025-06-03,09:10,09:21,11.4,E29,Ernesto Luna,1534,Satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Algo cercano,No sabe / No contesta,Probablemente sí,No lo conozco bien,Empleo / economía,68,Hombre,Secundaria,Sí
IGU-0851,2025-06-03,14:10,14:21,11.1,E29,Ernesto Luna,1511,Regular,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,Buena,Poco cercano,No,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,51,Hombre,Preparatoria,Sí
IGU-0852,2025-06-03,12:28,12:39,11.3,E01,Carlos Mendoza,1515,Muy satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,No sabe / No contesta,No,Es una persona de trabajo y territorio,Salud,42,Hombre,Secundaria,Sí
IGU-0853,2025-06-03,15:36,15:47,11.1,E01,Carlos Mendoza,1482,Satisfecho,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Regular,Poco cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,46,Hombre,Secundaria,No
IGU-0854,2025-06-03,10:06,10:22,16.6,E01,Carlos Mendoza,1515,Satisfecho,Muy satisfecho,Nada,No sabe / No contesta,Sí,No sabe / No contesta,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Programas sociales,45,Hombre,Secundaria,No
IGU-0855,2025-06-03,16:24,16:41,17.3,E01,Carlos Mendoza,1515,Regular,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,"Sí, totalmente",No,Es un operador del gobierno federal,Seguridad,50,Hombre,Preparatoria,Sí
IGU-0856,2025-06-03,12:55,13:06,11.3,E01,Carlos Mendoza,1515,Muy satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Poco cercano,No sabe / No contesta,No,Es un operador del gobierno federal,Empleo / economía,60,Mujer,Preparatoria,Sí
IGU-0857,2025-06-03,12:13,12:23,10.5,E01,Carlos Mendoza,1499,Muy satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No,"Sí, con seguridad",No lo conozco bien,Seguridad,32,Hombre,Secundaria,No
IGU-0858,2025-06-03,15:49,16:03,14.4,E01,Carlos Mendoza,1553,Regular,Muy satisfecho,Algo,"Sí, lo sabía",Sí,No sabe / No contesta,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Empleo / economía,22,Hombre,Universidad,Sí
IGU-0859,2025-06-03,14:42,14:53,11.3,E01,Carlos Mendoza,1515,Satisfecho,Regular,Algo,No sabe / No contesta,Sí,Mala,No sabe / No contesta,"Sí, totalmente",Probablemente no,No tengo una opinión clara,Educación,39,Mujer,Secundaria,Sí
IGU-0860,2025-06-03,13:26,13:40,14.9,E01,Carlos Mendoza,1515,Satisfecho,Regular,Poco,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,Probablemente sí,No tengo una opinión clara,Seguridad,64,Otro,Primaria,Sí
IGU-0861,2025-06-03,16:01,16:14,13.6,E01,Carlos Mendoza,1515,Muy satisfecho,Muy satisfecho,Poco,No sabe / No contesta,Sí,Buena,No sabe / No contesta,No sabe / No contesta,No,Es un operador del gobierno federal,Empleo / economía,43,Hombre,Secundaria,Sí
IGU-0862,2025-06-03,14:39,14:47,8.5,E01,Carlos Mendoza,1542,Muy satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Salud,25,Hombre,Preparatoria,No
IGU-0863,2025-06-03,10:49,11:06,17.6,E01,Carlos Mendoza,1515,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Muy cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,68,Mujer,Secundaria,Sí
IGU-0864,2025-06-03,15:46,16:04,18.4,E01,Carlos Mendoza,1515,Regular,Satisfecho,Nada,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Programas sociales,70,Mujer,Preparatoria,Sí
IGU-0865,2025-06-03,09:19,09:30,11.2,E01,Carlos Mendoza,1519,Insatisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,No sabe / No contesta,Poco cercano,No sabe / No contesta,No,Es un operador del gobierno federal,Seguridad,36,Mujer,Preparatoria,No
IGU-0866,2025-06-03,14:10,14:21,11.8,E01,Carlos Mendoza,1515,Regular,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,48,Mujer,Secundaria,Sí
IGU-0867,2025-06-03,12:25,12:38,13.9,E01,Carlos Mendoza,1515,Satisfecho,Insatisfecho,Poco,No lo sabía y no me interesa,No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,No lo conozco bien,Seguridad,21,Mujer,Primaria,Sí
IGU-0868,2025-06-03,09:37,09:51,14.0,E01,Carlos Mendoza,1515,Muy satisfecho,Satisfecho,Mucho,"Sí, lo sabía",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Programas sociales,37,Mujer,Secundaria,Sí
IGU-0869,2025-06-03,11:56,12:11,15.0,E01,Carlos Mendoza,1500,Muy satisfecho,Muy satisfecho,Poco,"Sí, lo sabía",Sí,Muy buena,Algo cercano,No,Probablemente sí,No lo conozco bien,Empleo / economía,26,Mujer,Preparatoria,No
IGU-0870,2025-06-03,16:24,16:43,19.0,E48,Norma Estrada,1508,Satisfecho,Muy satisfecho,Poco,No sabe / No contesta,No,No aplica,Algo cercano,En parte,No sabe / No contesta,Es una persona de trabajo y territorio,Salud,33,Mujer,Preparatoria,Sí
IGU-0871,2025-06-03,09:19,09:31,12.5,E48,Norma Estrada,1508,Regular,Satisfecho,Algo,No lo sabía y no me interesa,Sí,Buena,Muy cercano,En parte,No,Es un operador del gobierno federal,Seguridad,39,Mujer,Universidad,No
IGU-0872,2025-06-03,13:30,13:40,10.6,E48,Norma Estrada,1508,Insatisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,Poco cercano,En parte,No,Es un operador del gobierno federal,Empleo / economía,66,Hombre,Secundaria,Sí
IGU-0873,2025-06-03,09:32,09:40,8.9,E48,Norma Estrada,1508,Satisfecho,Regular,Poco,No sabe / No contesta,No,No aplica,Poco cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Empleo / economía,37,Mujer,Universidad,No
IGU-0874,2025-06-03,12:22,12:32,10.8,E48,Norma Estrada,1508,Muy satisfecho,Satisfecho,Mucho,No sabe / No contesta,No,No aplica,Algo cercano,En parte,Probablemente sí,No tengo una opinión clara,Educación,35,Mujer,Universidad,No
IGU-0875,2025-06-03,15:33,15:45,12.9,E48,Norma Estrada,1562,Satisfecho,Muy satisfecho,Nada,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Infraestructura,53,Mujer,Secundaria,No
IGU-0876,2025-06-03,14:31,14:49,18.4,E48,Norma Estrada,1534,Muy satisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Regular,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,64,Hombre,Primaria,No
IGU-0877,2025-06-03,13:40,13:51,11.4,E48,Norma Estrada,1508,Satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,No sabe / No contesta,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Educación,35,Mujer,Primaria,Sí
